site.name,std.type,sub.type,time,sub.conc,replicate,signal 
tyson,amc,l-leucine-amc,0,0,1,2790.16
tyson,amc,l-leucine-amc,20,0,1,2752.91
tyson,amc,l-leucine-amc,40,0,1,2746.59
tyson,amc,l-leucine-amc,60,0,1,2709.04
tyson,amc,l-leucine-amc,0,0,2,2823.05
tyson,amc,l-leucine-amc,20,0,2,2914.56
tyson,amc,l-leucine-amc,40,0,2,2904.91
tyson,amc,l-leucine-amc,60,0,2,2822.85
tyson,amc,l-leucine-amc,0,0,3,2958.01
tyson,amc,l-leucine-amc,20,0,3,2914.56
tyson,amc,l-leucine-amc,40,0,3,2904.91
tyson,amc,l-leucine-amc,60,0,3,2899.56
tyson,amc,l-leucine-amc,0,50,1,103368.39
tyson,amc,l-leucine-amc,20,50,1,206630.43
tyson,amc,l-leucine-amc,40,50,1,273002.4
tyson,amc,l-leucine-amc,60,50,1,382360.96
tyson,amc,l-leucine-amc,0,50,2,107972.37
tyson,amc,l-leucine-amc,20,50,2,314895.62
tyson,amc,l-leucine-amc,40,50,2,422224.25
tyson,amc,l-leucine-amc,60,50,2,857774.62
tyson,amc,l-leucine-amc,0,50,3,162566.06
tyson,amc,l-leucine-amc,20,50,3,351342.68
tyson,amc,l-leucine-amc,40,50,3,439698.43
tyson,amc,l-leucine-amc,60,50,3,801055.81
tyson,amc,l-leucine-amc,0,100,1,310881.21
tyson,amc,l-leucine-amc,20,100,1,318533.03
tyson,amc,l-leucine-amc,40,100,1,470409.71
tyson,amc,l-leucine-amc,60,100,1,1635811
tyson,amc,l-leucine-amc,0,100,2,306518.87
tyson,amc,l-leucine-amc,20,100,2,508798.81
tyson,amc,l-leucine-amc,40,100,2,551026.12
tyson,amc,l-leucine-amc,60,100,2,1452167
tyson,amc,l-leucine-amc,0,100,3,315806.34
tyson,amc,l-leucine-amc,20,100,3,488345.68
tyson,amc,l-leucine-amc,40,100,3,684790.37
tyson,amc,l-leucine-amc,60,100,3,1304325.37
tyson,amc,l-leucine-amc,0,200,1,532504.25
tyson,amc,l-leucine-amc,20,200,1,565325.43
tyson,amc,l-leucine-amc,40,200,1,914042.62
tyson,amc,l-leucine-amc,60,200,1,1429282.5
tyson,amc,l-leucine-amc,0,200,2,419957.59
tyson,amc,l-leucine-amc,20,200,2,546727.12
tyson,amc,l-leucine-amc,40,200,2,1040843
tyson,amc,l-leucine-amc,60,200,2,2680390.5
tyson,amc,l-leucine-amc,0,200,3,599491.5
tyson,amc,l-leucine-amc,20,200,3,623450.5
tyson,amc,l-leucine-amc,40,200,3,1862817.37
tyson,amc,l-leucine-amc,60,200,3,2280276.5
tyson,amc,l-leucine-amc,0,300,1,750354.06
tyson,amc,l-leucine-amc,20,300,1,824577.5
tyson,amc,l-leucine-amc,40,300,1,1064786.37
tyson,amc,l-leucine-amc,60,300,1,1297156.25
tyson,amc,l-leucine-amc,0,300,2,742469.78
tyson,amc,l-leucine-amc,20,300,2,887983.71
tyson,amc,l-leucine-amc,40,300,2,901927.81
tyson,amc,l-leucine-amc,60,300,2,3296474.5
tyson,amc,l-leucine-amc,0,300,3,748717.03
tyson,amc,l-leucine-amc,20,300,3,997046.15
tyson,amc,l-leucine-amc,40,300,3,1152987
tyson,amc,l-leucine-amc,60,300,3,1868261
tyson,amc,l-leucine-amc,0,400,1,663307.12
tyson,amc,l-leucine-amc,20,400,1,805437.25
tyson,amc,l-leucine-amc,40,400,1,1631394.87
tyson,amc,l-leucine-amc,60,400,1,2618363.5
tyson,amc,l-leucine-amc,0,400,2,640862.75
tyson,amc,l-leucine-amc,20,400,2,713334.07
tyson,amc,l-leucine-amc,40,400,2,1234349.25
tyson,amc,l-leucine-amc,60,400,2,2405508.25
tyson,amc,l-leucine-amc,0,400,3,710035
tyson,amc,l-leucine-amc,20,400,3,833517
tyson,amc,l-leucine-amc,40,400,3,1985896
tyson,amc,l-leucine-amc,60,400,3,3000185
