time,sub.conc,replicate,spec,norm
0,0,1,33980.66,10
10,0,1,33957.96,10
20,0,1,33960.55,10
30,0,1,34575.85,10
40,0,1,34747.77,10
0,0,2,33649.45,10
10,0,2,33887.62,10
20,0,2,34167.03,10
30,0,2,34134.13,10
40,0,2,34113.62,10
0,0,3,33452.68,10
10,0,3,33951.5,10
20,0,3,34134.13,10
30,0,3,34077.44,10
40,0,3,34179.89,10
0,50,1,37225.27,10
10,50,1,78490.17,10
20,50,1,114061.52,10
30,50,1,144895.21,10
40,50,1,174165.14,10
0,50,2,36989.9,10
10,50,2,80344.33,10
20,50,2,114532.25,10
30,50,2,147203.6,10
40,50,2,176990.1,10
0,50,3,37323.56,10
10,50,3,78053.29,10
20,50,3,112392.05,10
30,50,3,146584.89,10
40,50,3,171808.81,10
0,100,1,39521.86,10
10,100,1,101013.4,10
20,100,1,147244.28,10
30,100,1,190415.79,10
40,100,1,230969.62,10
0,100,2,39848.01,10
10,100,2,101763.03,10
20,100,2,149522.4,10
30,100,2,193899.96,10
40,100,2,235708.32,10
0,100,3,39902.98,10
10,100,3,99316.25,10
20,100,3,146325.46,10
30,100,3,187896.42,10
40,100,3,228935.32,10
0,200,1,42632.73,10
10,200,1,120263.32,10
20,200,1,185416.28,10
30,200,1,244105.28,10
40,200,1,302165.25,10
0,200,2,43329.89,10
10,200,2,120590.2,10
20,200,2,184479.21,10
30,200,2,241266.2,10
40,200,2,298442.81,10
0,200,3,50810.35,10
10,200,3,125158.34,10
20,200,3,186165.75,10
30,200,3,243903.78,10
40,200,3,298530.03,10
0,300,1,47076.79,10
10,300,1,131984.84,10
20,300,1,201508.89,10
30,300,1,267456.18,10
40,300,1,332709.43,10
0,300,2,48002.16,10
10,300,2,134010.46,10
20,300,2,202764.76,10
30,300,2,267868.59,10
40,300,2,334641.09,10
0,300,3,50291.98,10
10,300,3,135714.14,10
20,300,3,204138.75,10
30,300,3,267520.96,10
40,300,3,333253.34,10
0,400,1,50370.83,10
10,400,1,140308.73,10
20,400,1,220437.01,10
30,400,1,291885.75,10
40,400,1,364529.9,10
0,400,2,52025.77,10
10,400,2,143667.6,10
20,400,2,224413.67,10
30,400,2,296462.59,10
40,400,2,368590.06,10
0,400,3,52814.32,10
10,400,3,144611.04,10
20,400,3,224220.15,10
30,400,3,300852.31,10
40,400,3,373514.31,10
