site_name,std_type,substrate_type,time,substrate_conc,replicate,signal,substrate_control,kill_control
tyson,amc,l-leucine-amc,0,0,1,1474.31,589.3,1330.46
tyson,amc,l-leucine-amc,20,0,1,1513.18,550.94,1408.77
tyson,amc,l-leucine-amc,40,0,1,1552.85,545.92,1456.39
tyson,amc,l-leucine-amc,60,0,1,1566.03,585.69,1564.86
tyson,amc,l-leucine-amc,120,0,1,1673.96,681.3,1596.63
tyson,amc,l-leucine-amc,0,0,2,1158.92,734.22,1549.82
tyson,amc,l-leucine-amc,20,0,2,1171.63,744.93,1569.56
tyson,amc,l-leucine-amc,40,0,2,1216.12,750.14,1574.28
tyson,amc,l-leucine-amc,60,0,2,1274.55,752.45,1600.39
tyson,amc,l-leucine-amc,120,0,2,1416.3,805.47,1645.41
tyson,amc,l-leucine-amc,0,0,3,1189.52,421.87,1303.81
tyson,amc,l-leucine-amc,20,0,3,1250.07,472.03,1355.35
tyson,amc,l-leucine-amc,40,0,3,1310.46,477.78,1402.29
tyson,amc,l-leucine-amc,60,0,3,1377.69,518.22,1446.82
tyson,amc,l-leucine-amc,120,0,3,1532.66,579.74,1538.41
tyson,amc,l-leucine-amc,0,50,1,16318.49,8638.04,3673.23
tyson,amc,l-leucine-amc,20,50,1,30287.43,10383.54,7984.04
tyson,amc,l-leucine-amc,40,50,1,32936.62,11837.3,12046.07
tyson,amc,l-leucine-amc,60,50,1,41851.73,13170.53,16593.6
tyson,amc,l-leucine-amc,120,50,1,64583.04,18437.34,24615.4
tyson,amc,l-leucine-amc,0,50,2,23584.24,25261.61,2354.54
tyson,amc,l-leucine-amc,20,50,2,32649.86,26010.75,4426.75
tyson,amc,l-leucine-amc,40,50,2,42174.75,28565.76,7265.03
tyson,amc,l-leucine-amc,60,50,2,51164.25,28471.35,10508.82
tyson,amc,l-leucine-amc,120,50,2,78347.32,30644.73,19880.36
tyson,amc,l-leucine-amc,0,50,3,17868.94,18703.53,7171.77
tyson,amc,l-leucine-amc,20,50,3,21446.75,22050.27,7849.05
tyson,amc,l-leucine-amc,40,50,3,26689.5,23108.4,9904.16
tyson,amc,l-leucine-amc,60,50,3,31876.25,22535.35,12495.39
tyson,amc,l-leucine-amc,120,50,3,52660.41,24508.11,21023.75
tyson,amc,l-leucine-amc,0,100,1,5073.52,7061.75,15034.99
tyson,amc,l-leucine-amc,20,100,1,9386.59,7158.51,19894.77
tyson,amc,l-leucine-amc,40,100,1,15574.96,8388.27,23747.03
tyson,amc,l-leucine-amc,60,100,1,23900.46,12026.77,30904.45
tyson,amc,l-leucine-amc,120,100,1,51821.98,24573.04,44245.95
tyson,amc,l-leucine-amc,0,100,2,23409.91,13341.29,4158.35
tyson,amc,l-leucine-amc,20,100,2,30681.29,16891.76,4600.07
tyson,amc,l-leucine-amc,40,100,2,41361.22,20203.1,7313.68
tyson,amc,l-leucine-amc,60,100,2,49194.62,24613.17,10723.14
tyson,amc,l-leucine-amc,120,100,2,86352.38,34858.94,25711.32
tyson,amc,l-leucine-amc,0,100,3,31360.94,4077.94,11717.14
tyson,amc,l-leucine-amc,20,100,3,41243.2,4288.78,13125.07
tyson,amc,l-leucine-amc,40,100,3,46283.56,773.71,15307.33
tyson,amc,l-leucine-amc,60,100,3,54004.14,11986.15,19237.96
tyson,amc,l-leucine-amc,120,100,3,84931.62,24005.34,33735.28
tyson,amc,l-leucine-amc,0,200,1,54120.91,25011.47,37832.01
tyson,amc,l-leucine-amc,20,200,1,72903.6,35050.23,39563.62
tyson,amc,l-leucine-amc,40,200,1,82703.54,44198.88,42733.08
tyson,amc,l-leucine-amc,60,200,1,100097.8,51164.35,46996.67
tyson,amc,l-leucine-amc,120,200,1,143328.5,68130.94,64615.49
tyson,amc,l-leucine-amc,0,200,2,8404.42,34202.17,59641.16
tyson,amc,l-leucine-amc,20,200,2,15965.75,42108.61,67812.35
tyson,amc,l-leucine-amc,40,200,2,26216.41,50107.92,75144.09
tyson,amc,l-leucine-amc,60,200,2,38573.07,57755,85555.63
tyson,amc,l-leucine-amc,120,200,2,83160.85,73493.61,97480.08
tyson,amc,l-leucine-amc,0,200,3,47290.4,11098.41,24215.23
tyson,amc,l-leucine-amc,20,200,3,63467.44,23664.63,39293.24
tyson,amc,l-leucine-amc,40,200,3,78972.23,29515.96,60137.57
tyson,amc,l-leucine-amc,60,200,3,93986.46,38228.91,66092.38
tyson,amc,l-leucine-amc,120,200,3,140409.87,58215.49,80429.44
