site.name,std.type,sub.type,time,sub.conc,replicate,signal,kill.control
victor_ashe,amc,l-leucine-amc,0,0,1,4905.25,8229.68
victor_ashe,amc,l-leucine-amc,20,0,1,4830.95,8295.77
victor_ashe,amc,l-leucine-amc,40,0,1,4933.3,8295.47
victor_ashe,amc,l-leucine-amc,60,0,1,4849.59,8294.22
victor_ashe,amc,l-leucine-amc,120,0,1,4918.46,8306.66
victor_ashe,amc,l-leucine-amc,240,0,1,4851.65,8066.26
victor_ashe,amc,l-leucine-amc,0,0,2,4998.53,8238.34
victor_ashe,amc,l-leucine-amc,20,0,2,5132.79,8469.39
victor_ashe,amc,l-leucine-amc,40,0,2,5147.06,8580.3
victor_ashe,amc,l-leucine-amc,60,0,2,5181.27,8580.51
victor_ashe,amc,l-leucine-amc,120,0,2,5241.88,8659.85
victor_ashe,amc,l-leucine-amc,240,0,2,5163.49,8482.38
victor_ashe,amc,l-leucine-amc,0,0,3,4949.52,8168.47
victor_ashe,amc,l-leucine-amc,20,0,3,4908.97,8158.97
victor_ashe,amc,l-leucine-amc,40,0,3,4981.58,8213.6
victor_ashe,amc,l-leucine-amc,60,0,3,5037.45,8193.15
victor_ashe,amc,l-leucine-amc,120,0,3,5119.02,8290.44
victor_ashe,amc,l-leucine-amc,240,0,3,5033.46,8611.3
victor_ashe,amc,l-leucine-amc,0,50,1,30387.79,15133.95
victor_ashe,amc,l-leucine-amc,20,50,1,50348.86,15574.88
victor_ashe,amc,l-leucine-amc,40,50,1,70533.29,16216.52
victor_ashe,amc,l-leucine-amc,60,50,1,90412.46,17901.06
victor_ashe,amc,l-leucine-amc,120,50,1,154727.09,23684.76
victor_ashe,amc,l-leucine-amc,240,50,1,295234.09,30986.62
victor_ashe,amc,l-leucine-amc,0,50,2,10093.23,17970.36
victor_ashe,amc,l-leucine-amc,20,50,2,18834.9,20574.36
victor_ashe,amc,l-leucine-amc,40,50,2,29282.65,21017.77
victor_ashe,amc,l-leucine-amc,60,50,2,40816.84,21951.96
victor_ashe,amc,l-leucine-amc,120,50,2,79109.35,26132.55
victor_ashe,amc,l-leucine-amc,240,50,2,162860.89,32175.75
victor_ashe,amc,l-leucine-amc,0,50,3,8480.7,11824.41
victor_ashe,amc,l-leucine-amc,20,50,3,15402.19,12657.13
victor_ashe,amc,l-leucine-amc,40,50,3,25128.09,13225.7
victor_ashe,amc,l-leucine-amc,60,50,3,33832.41,14935.24
victor_ashe,amc,l-leucine-amc,120,50,3,73997.77,20916.15
victor_ashe,amc,l-leucine-amc,240,50,3,159400.34,60648.2
victor_ashe,amc,l-leucine-amc,0,100,1,23999.53,24516.01
victor_ashe,amc,l-leucine-amc,20,100,1,43814.84,25186.98
victor_ashe,amc,l-leucine-amc,40,100,1,64162.2,26384.84
victor_ashe,amc,l-leucine-amc,60,100,1,83389.23,28260.64
victor_ashe,amc,l-leucine-amc,120,100,1,143508.67,35676.66
victor_ashe,amc,l-leucine-amc,240,100,1,267712.46,45835.69
victor_ashe,amc,l-leucine-amc,0,100,2,22403.15,23136.52
victor_ashe,amc,l-leucine-amc,20,100,2,389223.73,23527.78
victor_ashe,amc,l-leucine-amc,40,100,2,58156.7,26276.14
victor_ashe,amc,l-leucine-amc,60,100,2,78724.59,28727.31
victor_ashe,amc,l-leucine-amc,120,100,2,143305.07,36727.74
victor_ashe,amc,l-leucine-amc,240,100,2,287410.43,47820.35
victor_ashe,amc,l-leucine-amc,0,100,3,22019.16,20571.75
victor_ashe,amc,l-leucine-amc,20,100,3,40678.94,18518.22
victor_ashe,amc,l-leucine-amc,40,100,3,6018.75,20290.78
victor_ashe,amc,l-leucine-amc,60,100,3,81774.37,22314.53
victor_ashe,amc,l-leucine-amc,120,100,3,144413.43,30117.5
victor_ashe,amc,l-leucine-amc,240,100,3,286145.21,45268.13
victor_ashe,amc,l-leucine-amc,0,200,1,23991.12,29844.46
victor_ashe,amc,l-leucine-amc,20,200,1,42644.26,33038.73
victor_ashe,amc,l-leucine-amc,40,200,1,62275.27,37628.77
victor_ashe,amc,l-leucine-amc,60,200,1,84118.75,43132.49
victor_ashe,amc,l-leucine-amc,120,100,1,155791.62,57929.33
victor_ashe,amc,l-leucine-amc,240,200,1,305730.12,76551.28
victor_ashe,amc,l-leucine-amc,0,200,2,30523.95,41287.74
victor_ashe,amc,l-leucine-amc,20,200,2,49927.12,44349.91
victor_ashe,amc,l-leucine-amc,40,200,2,71129.15,47614.53
victor_ashe,amc,l-leucine-amc,60,200,2,93369.97,49761.71
victor_ashe,amc,l-leucine-amc,120,200,2,166164.68,61455.54
victor_ashe,amc,l-leucine-amc,240,200,2,315393.93,77766.75
victor_ashe,amc,l-leucine-amc,0,200,3,7809.95,17021.09
victor_ashe,amc,l-leucine-amc,20,200,3,14612.75,20390.19
victor_ashe,amc,l-leucine-amc,40,200,3,23955.11,23694.41
victor_ashe,amc,l-leucine-amc,60,200,3,41155.02,29613.07
victor_ashe,amc,l-leucine-amc,120,200,3,100817.85,46177.35
victor_ashe,amc,l-leucine-amc,240,200,3,243331.9,71273.2
victor_ashe,amc,l-leucine-amc,0,400,1,6169.25,18853.41
victor_ashe,amc,l-leucine-amc,20,400,1,18287.19,32305.13
victor_ashe,amc,l-leucine-amc,40,400,1,40495.57,50309.89
victor_ashe,amc,l-leucine-amc,60,400,1,71957.39,63381.77
victor_ashe,amc,l-leucine-amc,120,400,1,154912.28,89707.9
victor_ashe,amc,l-leucine-amc,240,400,1,328253.31,124009.84
